project_id,project_name,sector,ministry,state,district,implementing_agency,sanctioned_cost,revised_cost,actual_expenditure,sanctioned_duration,actual_duration,start_date,expected_end_date,revised_end_date,physical_progress,financial_progress,contractor_name,revision_count,funding_source,land_acquisition_status,environment_clearance,forest_clearance,utility_shifting_status,tender_type,no_of_extensions,last_inspection_date,inspection_score,disputes_count,cost_overrun_flag,time_overrun_flag,cost_overrun_pct,time_overrun_pct,risk_score,risk_category
PROJ-400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Ladakh,Leh,Airport Authority of India [AAI],480.0,640.0,512.55,38,96,2018-07-27,2021-09-14,2026-07-31,88.0,80.09,Shapoorji Pallonji Co,2,Central,Not Started,Pending,Pending,Not Started,Open,5,2026-02-11,6.1,2,1,1,33.33,152.63,61.6,Medium
PROJ-612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Kerala,Calicut,Airport Authority of India [AAI],485.0,485.0,242.51,28,43,2023-06-07,2025-09-28,2026-12-31,66.0,50.0,KNR Constructions Ltd,3,State,Partial,Pending,Pending,Not Started,Open,4,2026-05-08,4.1,2,0,1,0.0,53.57,39.2,Medium
PROJ-701126,"Development of Dholera International Greenfield Airport , Gujarat",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Gujarat,Dholera,Airport Authority of India [AAI],1305.0,1551.0,966.36,49,52,2022-06-14,2026-06-30,2026-09-30,88.0,62.31,Megha Engineering (MEIL),4,Externally Aided,Not Started,Obtained,Not Required,Complete,Limited,2,2026-06-14,5.1,2,1,0,18.85,6.12,23.4,Low
PROJ-619054,Development of Keshod Airport.,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Gujarat,Keshod,Airport Authority of India [AAI],363.0,363.0,108.64,37,37,2024-01-12,2027-01-31,2027-01-31,47.0,29.93,Adani Infra Ltd,0,State,Partial,Obtained,Obtained,Complete,Open,0,2026-06-05,7.7,1,0,0,0.0,0.0,8.0,Low
PROJ-701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Uttar Pradesh,Varanasi,Airport Authority of India [AAI],2870.0,2870.0,746.93,37,37,2024-07-04,2027-07-20,2027-07-20,33.0,26.03,NCC Limited,0,PPP,Partial,Obtained,Obtained,Complete,Open,1,2026-04-11,7.1,1,0,0,0.0,0.0,8.0,Low
PROJ-612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Bihar,Darbhanga,Airport Authority of India [AAI],912.0,912.0,426.22,24,29,2024-07-03,2026-07-11,2026-11-30,71.0,46.73,PNC Infratech Ltd,4,State,Partial,Pending,Not Required,Complete,Open,5,2026-06-26,5.8,2,0,1,0.0,20.83,22.7,Low
PROJ-611495,Development of New Civil Enclave at Bagdogra Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,West Bengal,Bagdogra,Airport Authority of India [AAI],1549.0,1549.0,548.3,30,30,2024-08-29,2027-03-07,2027-03-06,28.0,35.4,Afcons Infrastructure,0,Externally Aided,Complete,Obtained,Obtained,Complete,Open,0,2026-08-09,7.2,0,0,0,0.0,0.0,8.0,Low
PROJ-612183,Development of New Civil Enclave at Bihta,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Bihar,Bihta,Airport Authority of India [AAI],1413.0,1413.0,15.53,31,31,2024-08-28,2027-03-31,2027-03-31,4.0,1.1,Patel Engineering,1,PPP,Complete,Not Required,Obtained,Complete,Single,0,2026-04-01,8.6,1,0,0,0.0,0.0,8.0,Low
PROJ-618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Rajasthan,Kota,Airport Authority of India [AAI],1507.0,1507.0,81.41,26,26,2025-08-29,2027-10-19,2027-11-13,14.0,5.4,Megha Engineering (MEIL),0,State,Complete,Obtained,Obtained,Complete,Single,1,2026-04-22,7.6,0,0,0,0.0,0.0,8.0,Low
PROJ-701122,Development of New Integrated Civil Enclave at Agra Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Uttar Pradesh,Agra,Airport Authority of India [AAI],579.0,579.0,224.58,25,29,2024-06-18,2026-07-04,2026-11-30,45.0,38.79,IRCON International,1,Externally Aided,Complete,Pending,Obtained,Not Started,Open,3,2026-08-03,3.9,0,0,1,0.0,16.0,13.8,Low
PROJ-706724,Guwahati Airport New Integrated Terminal Building Construction Project,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Assam,Guwahati,Adani Airport Holdings Limited,1712.0,2520.0,2670.23,100,115,2016-12-01,2025-03-31,2026-06-30,100.0,100.0,Shapoorji Pallonji Co,4,State,Not Started,Pending,Not Required,Complete,Limited,4,2026-04-15,7.1,0,1,1,47.2,15.0,41.2,Medium
PROJ-611602,"Modernization of Chennai Airport, Phase II, Part 2",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Tamil Nadu,Chennai,Airport Authority of India [AAI],1207.0,1207.0,331.85,87,104,2018-05-14,2025-07-31,2026-12-31,46.0,27.49,Larsen & Toubro Ltd,4,PPP,Not Started,Obtained,Not Required,Partial,Single,2,2026-06-04,6.7,0,0,1,0.0,19.54,18.9,Low
PROJ-612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,West Bengal,Kolkata,Airport Authority of India [AAI],328.0,328.0,153.52,31,42,2023-03-04,2025-10-02,2026-08-31,74.0,46.8,IRB Infrastructure Developers,4,Central,Not Started,Obtained,Obtained,Complete,Open,5,2026-03-15,7.0,0,0,1,0.0,35.48,28.5,Low
PROJ-611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Maharashtra,Mumbai,Airport Authority of India [AAI],500.0,500.0,399.77,57,68,2020-12-18,2025-09-11,2026-08-31,80.0,79.95,Tata Projects Ltd,3,Central,Complete,Pending,Obtained,Partial,Limited,2,2026-08-08,5.4,0,0,1,0.0,19.3,15.4,Low
PROJ-612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Sikkim,Gangtok,Airport Authority of India [AAI],323.0,323.0,87.61,30,43,2023-11-21,2026-06-02,2027-06-30,36.0,27.12,Afcons Infrastructure,4,State,Partial,Pending,Obtained,Complete,Single,2,2026-03-16,5.1,0,0,1,0.0,43.33,29.2,Low
PROJ-613800,JAGANNATHPUR OC RCE PROJECT,Coal,Ministry of Coal,Madhya Pradesh,Ujjain,SECL - CIL,459.0,459.0,290.4,104,128,2016-07-25,2025-03-31,2027-03-31,96.0,63.27,Afcons Infrastructure,1,PPP,Not Started,Pending,Obtained,Complete,Single,1,2026-02-23,4.5,3,0,1,0.0,23.08,20.6,Low
PROJ-400142,Pachwara South Coal Block,Coal,Ministry of Coal,Meghalaya,Tura,NLC India Limited,2243.0,2243.0,1432.45,151,151,2016-03-10,2028-09-30,2028-09-30,87.0,63.86,GMR Infrastructure,0,State,Complete,Obtained,Obtained,Complete,Single,1,2026-05-14,7.5,1,0,0,0.0,0.0,8.0,Low
PROJ-616223,ADASA UG TO OC MINE,Coal,Ministry of Coal,Uttar Pradesh,Ayodhya,WCL - CIL,316.0,316.0,209.29,64,100,2018-11-16,2024-03-31,2027-03-31,86.0,66.23,Adani Infra Ltd,4,Externally Aided,Complete,Pending,Pending,Partial,Limited,3,2026-06-28,5.8,0,0,1,0.0,56.25,35.5,Medium
PROJ-400148,AMADAND OCP[4.0MTY],Coal,Ministry of Coal,Sikkim,Gangtok,SECL - CIL,869.0,869.0,325.09,61,133,2016-03-05,2021-03-31,2027-03-31,75.0,37.41,Adani Infra Ltd,2,Central,Partial,Obtained,Not Required,Complete,Open,4,2026-03-24,4.1,1,0,1,0.0,118.03,38.4,Medium
PROJ-616229,AMAL GONDEGAON GHATROHANA EXPN,Coal,Ministry of Coal,Tamil Nadu,Tirunelveli,WCL - CIL,669.0,669.0,2.95,55,55,2024-09-10,2029-03-31,2029-03-31,3.0,0.44,Larsen & Toubro Ltd,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-04-13,7.9,0,0,0,0.0,0.0,8.0,Low
PROJ-611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Coal,Ministry of Coal,Jharkhand,Bokaro,Bharat Coking Coal Limited (BCCL),4012.0,4012.0,414.97,87,87,2023-01-04,2030-03-31,2030-03-31,31.0,10.34,Patel Engineering,0,State,Partial,Obtained,Obtained,Complete,Open,0,2026-07-26,7.9,0,0,0,0.0,0.0,8.0,Low
PROJ-615185,AMALGAMATED DHANKASA & JAMUNIA,Coal,Ministry of Coal,Nagaland,Dimapur,WCL - CIL,399.0,399.0,117.2,54,54,2022-09-19,2027-03-31,2027-03-31,67.0,29.37,Adani Infra Ltd,0,PPP,Partial,Obtained,Not Required,Complete,Open,0,2026-05-24,8.5,0,0,0,0.0,0.0,8.0,Low
PROJ-616050,AMALGAMATED INDER-KAMPTEE DEEP,Coal,Ministry of Coal,Sikkim,Gangtok,WCL - CIL,236.0,236.0,128.49,66,102,2018-09-22,2024-03-31,2027-03-31,99.0,54.44,Adani Infra Ltd,4,PPP,Partial,Obtained,Obtained,Complete,Open,1,2026-02-03,6.9,1,0,1,0.0,54.55,32.9,Low
PROJ-400177,AMALGAMATED YEKONA I & YEKONA,Coal,Ministry of Coal,Tamil Nadu,Salem,WCL - CIL,727.0,727.0,564.25,116,140,2015-08-12,2025-03-31,2027-03-31,81.0,77.61,IRCON International,4,Externally Aided,Complete,Pending,Not Required,Partial,Limited,3,2026-01-31,4.9,3,0,1,0.0,20.69,20.8,Low
PROJ-613798,AMERA OC RCE [1.0 MTY],Coal,Ministry of Coal,Delhi,North Delhi,SECL - CIL,336.0,336.0,91.91,134,134,2015-02-04,2026-03-31,2026-03-31,42.0,27.35,Megha Engineering (MEIL),0,Central,Complete,Obtained,Obtained,Partial,Limited,0,2026-06-28,9.3,0,0,0,0.0,0.0,8.0,Low
PROJ-613799,AMGAON OC RCE [1.0 MTY],Coal,Ministry of Coal,Ladakh,Leh,SECL - CIL,316.0,316.0,193.0,128,128,2015-07-25,2026-03-31,2026-03-31,79.0,61.08,IRB Infrastructure Developers,1,Central,Partial,Obtained,Obtained,Partial,Open,1,2026-06-29,8.0,1,0,0,0.0,0.0,8.0,Low
PROJ-615916,AMLG GAURI PAUNI EXPANSION OC,Coal,Ministry of Coal,Telangana,Hyderabad,WCL - CIL,1225.0,1225.0,92.02,71,71,2024-04-26,2030-03-31,2030-03-31,4.0,7.51,Megha Engineering (MEIL),0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-07-22,9.0,0,0,0,0.0,0.0,8.0,Low
PROJ-616233,BALABHADRA OCP,Coal,Ministry of Coal,Odisha,Balasore,MCL - CIL,978.0,978.0,461.54,83,83,2023-04-19,2030-03-31,2030-03-31,19.0,47.19,KNR Constructions Ltd,0,PPP,Complete,Obtained,Obtained,Complete,Open,0,2026-01-24,8.5,1,0,0,0.0,0.0,9.5,Low
PROJ-400183,BALARAM EXPANSION OCP,Coal,Ministry of Coal,Assam,Silchar,Mahanadi Coalfields Limited [MCL],3504.0,3504.0,963.81,104,104,2020-08-04,2029-03-31,2029-03-31,62.0,27.51,NCC Limited,0,Central,Complete,Obtained,Obtained,Partial,Single,0,2026-01-20,7.2,0,0,0,0.0,0.0,8.0,Low
PROJ-615330,BALLARPUR NORTH WEST OC MINE,Coal,Ministry of Coal,Kerala,Kollam,WCL - CIL,361.0,361.0,26.97,75,75,2022-12-16,2029-03-31,2029-03-31,5.0,7.47,GMR Infrastructure,0,Central,Complete,Not Required,Obtained,Partial,Single,1,2026-04-05,7.7,0,0,0,0.0,0.0,8.0,Low
PROJ-400149,BAROUD OC EXPANSION [3.0-10.0M,Coal,Ministry of Coal,Jharkhand,Deoghar,SECL - CIL,2310.0,2310.0,1039.65,104,104,2020-08-04,2029-03-31,2029-03-31,56.0,45.01,Larsen & Toubro Ltd,0,PPP,Complete,Obtained,Obtained,Partial,Single,0,2026-03-02,9.6,0,0,0,0.0,0.0,8.0,Low
PROJ-400392,BHARATPUR RE-ORGANIZATION OCP,Coal,Ministry of Coal,Tamil Nadu,Chennai,MCL - CIL,2839.0,2839.0,1716.58,125,125,2018-11-12,2029-03-31,2029-03-31,54.0,60.46,Ashoka Buildcon Ltd,0,Central,Complete,Obtained,Obtained,Partial,Open,0,2026-05-23,8.6,1,0,0,0.0,0.0,8.0,Low
PROJ-400033,BHATADI EXPANSION OC,Coal,Ministry of Coal,Tripura,Agartala,WCL - CIL,581.0,581.0,112.17,98,98,2020-02-11,2028-03-31,2028-03-31,34.0,19.31,KNR Constructions Ltd,0,Externally Aided,Complete,Obtained,Obtained,Complete,Open,1,2026-06-27,9.1,0,0,0,0.0,0.0,8.0,Low
PROJ-616231,BHUBANESWARI EXPN OCP 50 MTY,Coal,Ministry of Coal,Kerala,Kollam,MCL - CIL,5366.0,5366.0,477.73,108,108,2024-03-26,2033-03-31,2033-03-31,34.0,8.9,IRCON International,1,Central,Partial,Obtained,Obtained,Complete,Open,0,2026-05-04,8.2,0,0,0,0.0,0.0,8.0,Low
PROJ-400369,BINA KAKRI AMALGAMATION EXPANS,Coal,Ministry of Coal,Uttarakhand,Roorkee,NCL - CIL,836.0,836.0,917.1,43,79,2020-08-25,2024-03-31,2027-03-31,92.0,100.0,PNC Infratech Ltd,1,Central,Partial,Obtained,Pending,Complete,Open,4,2026-07-23,4.2,0,0,1,0.0,83.72,40.1,Medium
PROJ-400162,BLOCK B EXPANSION [3.5 TO 8.0,Coal,Ministry of Coal,Punjab,Amritsar,NCL - CIL,999.0,999.0,545.34,44,92,2019-07-22,2023-03-31,2027-03-31,51.0,54.59,Megha Engineering (MEIL),1,Externally Aided,Partial,Obtained,Pending,Partial,Single,4,2026-05-18,6.4,3,0,1,0.0,109.09,41.8,Medium
PROJ-616253,BLOCK E OCP,Coal,Ministry of Coal,Jharkhand,Dhanbad,BCCL - CIL,5851.0,5851.0,20.32,60,60,2024-03-26,2029-03-31,2029-03-31,4.0,0.35,Dilip Buildcon Ltd,0,Central,Partial,Obtained,Obtained,Complete,Limited,1,2026-04-05,7.4,0,0,0,0.0,0.0,8.0,Low
PROJ-400180,BONJEMEHARI EXPANSION OCP,Coal,Ministry of Coal,Kerala,Thiruvananthapuram,Eastern Coal Fields Limited [ECL],570.0,570.11,98.58,56,104,2021-08-10,2026-03-31,2030-03-31,17.0,17.29,NCC Limited,3,Central,Complete,Pending,Not Required,Partial,Limited,1,2026-07-12,6.3,1,0,1,0.02,85.71,37.0,Medium
PROJ-400138,CHANDRAGUPT OCP,Coal,Ministry of Coal,Jharkhand,Deoghar,CCL - CIL,974.0,974.0,772.12,140,140,2020-08-04,2032-03-31,2032-03-31,25.0,79.27,KNR Constructions Ltd,1,Central,Complete,Obtained,Obtained,Complete,Limited,0,2026-04-18,8.9,1,0,0,0.0,0.0,17.2,Low
PROJ-400172,CHITRA EAST OC,Coal,Ministry of Coal,Haryana,Yamunanagar,ECL - CIL,514.0,514.0,276.0,92,116,2018-08-11,2026-03-31,2028-03-31,53.0,53.7,Shapoorji Pallonji Co,1,PPP,Not Started,Obtained,Pending,Complete,Single,3,2026-02-28,5.9,0,0,1,0.0,26.09,20.8,Low
PROJ-616225,CHUPERBHITA SIMLONG OCP MDO 6,Coal,Ministry of Coal,Andhra Pradesh,Kadapa,ECL - CIL,979.0,979.0,0.0,159,159,2023-12-29,2037-03-31,2037-03-31,0.0,0.0,Adani Infra Ltd,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-06-21,7.8,0,0,0,0.0,0.0,8.0,Low
PROJ-400353,DHUPTALA OC [SASTI UG TO OC ],Coal,Ministry of Coal,Manipur,Churachandpur,WCL - CIL,711.0,711.0,174.66,110,110,2019-02-12,2028-03-31,2028-03-31,19.0,24.57,Hindustan Construction Company (HCC),0,State,Complete,Not Required,Obtained,Complete,Single,0,2026-08-14,8.4,1,0,0,0.0,0.0,8.0,Low
PROJ-400178,DINESH[MAKARDHOKRA-III] OC,Coal,Ministry of Coal,Andhra Pradesh,Vijayawada,WCL - CIL,823.0,823.0,792.0,86,86,2020-02-11,2027-03-31,2027-03-31,41.0,96.23,Dilip Buildcon Ltd,0,State,Complete,Obtained,Not Required,Partial,Open,0,2026-06-09,8.6,0,0,0,0.0,0.0,15.0,Low
PROJ-400354,DIPKA EXPANSION OCP [40 MTY],Coal,Ministry of Coal,Gujarat,Bhavnagar,SECL - CIL,5241.0,5241.0,2941.23,99,99,2020-12-24,2029-03-31,2029-03-31,39.0,56.12,Shapoorji Pallonji Co,0,PPP,Complete,Obtained,Obtained,Partial,Open,0,2026-08-01,8.1,1,0,0,0.0,0.0,8.0,Low
PROJ-400156,EPR AMRAPALI OCP,Coal,Ministry of Coal,Odisha,Bhubaneswar,CCL - CIL,4984.0,4984.0,1838.82,98,98,2020-02-11,2028-03-31,2028-03-31,44.0,36.89,PNC Infratech Ltd,0,Central,Complete,Obtained,Obtained,Partial,Single,0,2026-07-03,8.7,0,0,0,0.0,0.0,8.0,Low
PROJ-400155,EPR ASHOK OC,Coal,Ministry of Coal,Karnataka,Bengaluru,Ministry of Coal,2821.0,2821.0,186.02,119,119,2021-05-10,2031-03-31,2031-03-31,28.0,6.59,Dilip Buildcon Ltd,0,Externally Aided,Complete,Obtained,Obtained,Complete,Single,1,2026-08-02,7.7,0,0,0,0.0,0.0,8.0,Low
PROJ-400154,EPR PUNDI OCP,Coal,Ministry of Coal,Mizoram,Aizawl,Ministry of Coal,640.0,640.0,14.78,77,77,2020-11-11,2027-03-31,2027-03-31,11.0,2.31,IRB Infrastructure Developers,0,State,Complete,Obtained,Obtained,Complete,Open,1,2026-02-08,7.0,1,0,0,0.0,0.0,8.0,Low
PROJ-400153,EPR ROHINI - KARKETTA OCP,Coal,Ministry of Coal,Himachal Pradesh,Kullu,Ministry of Coal,996.0,996.0,85.34,86,86,2021-01-18,2028-03-31,2028-03-31,24.0,8.57,Hindustan Construction Company (HCC),0,Central,Complete,Obtained,Obtained,Complete,Open,1,2026-02-13,8.7,0,0,0,0.0,0.0,8.0,Low
PROJ-615331,GADEGAON OC 3 MTY,Coal,Ministry of Coal,Jammu and Kashmir,Udhampur,WCL - CIL,497.0,497.0,95.69,77,77,2023-10-28,2030-03-31,2030-03-31,2.0,19.25,Hindustan Construction Company (HCC),1,Central,Complete,Obtained,Obtained,Complete,Limited,0,2026-04-20,8.2,0,0,0,0.0,0.0,8.0,Low
PROJ-615206,GANDHIGRAM UG MINE,Coal,Ministry of Coal,Rajasthan,Jodhpur,WCL - CIL,414.0,414.0,28.54,79,91,2019-08-31,2026-03-31,2027-03-31,57.0,6.89,NCC Limited,1,Central,Not Started,Pending,Pending,Complete,Single,1,2026-04-30,4.4,3,0,1,0.0,15.19,18.6,Low
PROJ-615917,GAURIDEEP/GAURI CENTRAL OCP 7.,Coal,Ministry of Coal,Maharashtra,Nashik,WCL - CIL,973.0,973.0,1.55,80,80,2023-08-08,2030-03-31,2030-03-31,2.0,0.16,Adani Infra Ltd,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-01-11,9.5,0,0,0,0.0,0.0,8.0,Low
PROJ-400424,GEVRA OC [70 MTY],Coal,Ministry of Coal,Arunachal Pradesh,Itanagar,SECL - CIL,11816.0,11816.0,7825.46,85,133,2016-03-05,2023-03-31,2027-03-31,78.0,66.23,Patel Engineering,2,Central,Complete,Pending,Obtained,Complete,Single,1,2026-04-02,5.3,1,0,1,0.0,56.47,31.1,Low
PROJ-615914,GHONSA EXPANSION DEEP OC MINE,Coal,Ministry of Coal,Jharkhand,Hazaribagh,WCL - CIL,185.0,185.0,15.72,96,96,2021-03-23,2029-03-31,2029-03-31,13.0,8.5,Megha Engineering (MEIL),0,Externally Aided,Complete,Obtained,Obtained,Complete,Open,0,2026-01-30,8.4,0,0,0,0.0,0.0,8.0,Low
PROJ-615860,Godavarikhani Coal Mine - 5,Coal,Ministry of Coal,Jharkhand,Deoghar,Singareni Collieries Company Limited [SCCL],607.0,607.0,201.0,69,81,2019-07-01,2025-03-31,2026-03-31,71.0,33.11,IRCON International,4,PPP,Partial,Obtained,Obtained,Complete,Single,3,2026-01-30,3.7,0,0,1,0.0,17.39,16.8,Low
PROJ-615192,GOKUL EXTENSION OC MINE,Coal,Ministry of Coal,Haryana,Yamunanagar,WCL - CIL,310.0,310.0,62.31,59,71,2021-04-23,2026-03-31,2027-03-31,8.0,20.1,Adani Infra Ltd,4,Central,Not Started,Pending,Obtained,Complete,Single,3,2026-03-19,5.4,1,0,1,0.0,20.34,26.2,Low
PROJ-615862,Goleti Opencast Mine,Coal,Ministry of Coal,Jharkhand,Dhanbad,Singareni Collieries Company Limited [SCCL],346.0,346.0,111.94,57,57,2021-07-01,2026-03-31,2026-03-31,33.0,32.35,IRCON International,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-05-24,7.5,0,0,0,0.0,0.0,8.0,Low
PROJ-400185,GOPALJI KANIHA OCP [10 TO 30 M,Coal,Ministry of Coal,Madhya Pradesh,Sagar,MCL - CIL,8416.0,6107.87,1777.54,95,95,2022-04-25,2030-03-31,2030-03-31,36.0,21.12,Tata Projects Ltd,1,PPP,Complete,Obtained,Obtained,Complete,Open,1,2026-03-09,7.2,1,0,0,0.0,0.0,8.0,Low
PROJ-616232,HINGULA II OC EXPN PH III 15 M,Coal,Ministry of Coal,Himachal Pradesh,Shimla,MCL - CIL,1562.0,1562.0,284.22,77,77,2022-11-07,2029-03-31,2029-03-31,34.0,18.2,Tata Projects Ltd,0,Central,Complete,Obtained,Obtained,Complete,Limited,0,2026-06-14,7.2,0,0,0,0.0,0.0,8.0,Low
PROJ-400018,HURA C OCP,Coal,Ministry of Coal,Telangana,Nizamabad,Eastern Coal Fields Limited [ECL],859.0,859.0,455.95,80,80,2022-08-10,2029-03-31,2029-03-31,63.0,53.08,GMR Infrastructure,0,Central,Complete,Obtained,Obtained,Partial,Single,1,2026-02-05,7.8,0,0,0,0.0,0.0,8.0,Low
